asset_sk,asset_id,snapshot_date,date_key,price_consensus_usd,supply_on_chain,market_cap_derived_usd,tier_crypto,exchanges_count,methodology_version
4,sol,2024-01-11,20240111,140.84,440000000,61969600000.0,1,4,v1
5,bnb,2024-01-11,20240111,416.64,153000000,63745920000.0,1,3,v1
6,ada,2024-01-11,20240111,0.54945,35000000000,19230750000.0,2,4,v1
7,dot,2024-01-11,20240111,8.551,1400000000,11971400000.0,2,3,v1
8,avax,2024-01-11,20240111,37.696,400000000,15078400000.0,2,3,v1
9,msci_world_etf,2024-01-11,20240111,419.58,0,0.0,1,1,v1
10,sp500_etf,2024-01-11,20240111,482.88,0,0.0,1,1,v1
1,btc,2024-01-12,20240112,59700.0,19600000,1170120000000.0,1,5,v1
2,eth,2024-01-12,20240112,3531.5,120000000,423780000000.0,1,5,v1
3,matic,2024-01-12,20240112,0.8517,9900000000,8431830000.0,2,4,v1
4,sol,2024-01-12,20240112,139.3,440000000,61292000000.0,1,4,v1
5,bnb,2024-01-12,20240112,423.78,153000000,64838340000.0,1,3,v1
6,ada,2024-01-12,20240112,0.5511,35000000000,19288500000.0,2,4,v1
7,dot,2024-01-12,20240112,8.4575,1400000000,11840500000.0,2,3,v1
8,avax,2024-01-12,20240112,38.342,400000000,15336800000.0,2,3,v1
9,msci_world_etf,2024-01-12,20240112,420.84,0,0.0,1,1,v1
10,sp500_etf,2024-01-12,20240112,477.6,0,0.0,1,1,v1
1,btc,2024-01-13,20240113,60300.0,19600000,1181880000000.0,1,5,v1
2,eth,2024-01-13,20240113,3517.5,120000000,422100000000.0,1,5,v1
3,matic,2024-01-13,20240113,0.85425,9900000000,8457075000.0,2,4,v1
4,sol,2024-01-13,20240113,140.7,440000000,61908000000.0,1,4,v1
5,bnb,2024-01-13,20240113,422.1,153000000,64581300000.0,1,3,v1
6,ada,2024-01-13,20240113,0.55275,35000000000,19346250000.0,2,4,v1
7,dot,2024-01-13,20240113,8.5425,1400000000,11959500000.0,2,3,v1
8,avax,2024-01-13,20240113,38.19,400000000,15276000000.0,2,3,v1
9,msci_world_etf,2024-01-13,20240113,422.1,0,0.0,1,1,v1
10,sp500_etf,2024-01-13,20240113,482.4,0,0.0,1,1,v1
1,btc,2024-01-14,20240114,59640.0,19600000,1168944000000.0,1,5,v1
2,eth,2024-01-14,20240114,3503.5,120000000,420420000000.0,1,5,v1
3,matic,2024-01-14,20240114,0.8568,9900000000,8482320000.0,2,4,v1
4,sol,2024-01-14,20240114,139.16,440000000,61230400000.0,1,4,v1
5,bnb,2024-01-14,20240114,420.42,153000000,64324260000.0,1,3,v1
6,ada,2024-01-14,20240114,0.5544,35000000000,19404000000.0,2,4,v1
7,dot,2024-01-14,20240114,8.449,1400000000,11828600000.0,2,3,v1
8,avax,2024-01-14,20240114,38.038,400000000,15215200000.0,2,3,v1
9,msci_world_etf,2024-01-14,20240114,423.36,0,0.0,1,1,v1
10,sp500_etf,2024-01-14,20240114,477.12,0,0.0,1,1,v1
1,btc,2024-01-15,20240115,60240.0,19600000,1180704000000.0,1,5,v1
2,eth,2024-01-15,20240115,3489.5,120000000,418740000000.0,1,5,v1
3,matic,2024-01-15,20240115,0.8415,9900000000,8330850000.0,2,4,v1
4,sol,2024-01-15,20240115,140.56,440000000,61846400000.0,1,4,v1
5,bnb,2024-01-15,20240115,418.74,153000000,64067220000.0,1,3,v1
6,ada,2024-01-15,20240115,0.5445,35000000000,19057500000.0,2,4,v1
7,dot,2024-01-15,20240115,8.534,1400000000,11947600000.0,2,3,v1
8,avax,2024-01-15,20240115,37.886,400000000,15154400000.0,2,3,v1
9,msci_world_etf,2024-01-15,20240115,415.8,0,0.0,1,1,v1
10,sp500_etf,2024-01-15,20240115,481.92,0,0.0,1,1,v1
1,btc,2024-01-16,20240116,59580.0,19600000,1167768000000.0,1,5,v1
2,eth,2024-01-16,20240116,3475.5,120000000,417060000000.0,1,5,v1
3,matic,2024-01-16,20240116,0.84405,9900000000,8356095000.0,2,4,v1
4,sol,2024-01-16,20240116,139.02,440000000,61168800000.0,1,4,v1
5,bnb,2024-01-16,20240116,417.06,153000000,63810180000.0,1,3,v1
6,ada,2024-01-16,20240116,0.54615,35000000000,19115250000.0,2,4,v1
7,dot,2024-01-16,20240116,8.4405,1400000000,11816700000.0,2,3,v1
8,avax,2024-01-16,20240116,37.734,400000000,15093600000.0,2,3,v1
9,msci_world_etf,2024-01-16,20240116,417.06,0,0.0,1,1,v1
10,sp500_etf,2024-01-16,20240116,476.64,0,0.0,1,1,v1
1,btc,2024-01-17,20240117,60180.0,19600000,1179528000000.0,1,5,v1
2,eth,2024-01-17,20240117,3535.0,120000000,424200000000.0,1,5,v1
3,matic,2024-01-17,20240117,0.8466,9900000000,8381340000.0,2,4,v1
4,sol,2024-01-17,20240117,140.42,440000000,61784800000.0,1,4,v1
5,bnb,2024-01-17,20240117,424.2,153000000,64902600000.0,1,3,v1
6,ada,2024-01-17,20240117,0.5478,35000000000,19173000000.0,2,4,v1
7,dot,2024-01-17,20240117,8.5255,1400000000,11935700000.0,2,3,v1
8,avax,2024-01-17,20240117,38.38,400000000,15352000000.0,2,3,v1
9,msci_world_etf,2024-01-17,20240117,418.32,0,0.0,1,1,v1
10,sp500_etf,2024-01-17,20240117,481.44,0,0.0,1,1,v1
1,btc,2024-01-18,20240118,59520.0,19600000,1166592000000.0,1,5,v1
2,eth,2024-01-18,20240118,3521.0,120000000,422520000000.0,1,5,v1
3,matic,2024-01-18,20240118,0.84915,9900000000,8406585000.0,2,4,v1
4,sol,2024-01-18,20240118,138.88,440000000,61107200000.0,1,4,v1
5,bnb,2024-01-18,20240118,422.52,153000000,64645560000.0,1,3,v1
6,ada,2024-01-18,20240118,0.54945,35000000000,19230750000.0,2,4,v1
7,dot,2024-01-18,20240118,8.432,1400000000,11804800000.0,2,3,v1
8,avax,2024-01-18,20240118,38.228,400000000,15291200000.0,2,3,v1
9,msci_world_etf,2024-01-18,20240118,419.58,0,0.0,1,1,v1
10,sp500_etf,2024-01-18,20240118,476.16,0,0.0,1,1,v1
1,btc,2024-01-19,20240119,60120.0,19600000,1178352000000.0,1,5,v1
2,eth,2024-01-19,20240119,3507.0,120000000,420840000000.0,1,5,v1
3,matic,2024-01-19,20240119,0.8517,9900000000,8431830000.0,2,4,v1
4,sol,2024-01-19,20240119,140.28,440000000,61723200000.0,1,4,v1
5,bnb,2024-01-19,20240119,420.84,153000000,64388520000.0,1,3,v1
6,ada,2024-01-19,20240119,0.5511,35000000000,19288500000.0,2,4,v1
7,dot,2024-01-19,20240119,8.517,1400000000,11923800000.0,2,3,v1
8,avax,2024-01-19,20240119,38.076,400000000,15230400000.0,2,3,v1
9,msci_world_etf,2024-01-19,20240119,420.84,0,0.0,1,1,v1
10,sp500_etf,2024-01-19,20240119,480.96,0,0.0,1,1,v1
1,btc,2024-01-20,20240120,59460.0,19600000,1165416000000.0,1,5,v1
2,eth,2024-01-20,20240120,3493.0,120000000,419160000000.0,1,5,v1
3,matic,2024-01-20,20240120,0.85425,9900000000,8457075000.0,2,4,v1
4,sol,2024-01-20,20240120,138.74,440000000,61045600000.0,1,4,v1
5,bnb,2024-01-20,20240120,419.16,153000000,64131480000.0,1,3,v1
6,ada,2024-01-20,20240120,0.55275,35000000000,19346250000.0,2,4,v1
7,dot,2024-01-20,20240120,8.4235,1400000000,11792900000.0,2,3,v1
8,avax,2024-01-20,20240120,37.924,400000000,15169600000.0,2,3,v1
9,msci_world_etf,2024-01-20,20240120,422.1,0,0.0,1,1,v1
10,sp500_etf,2024-01-20,20240120,475.68,0,0.0,1,1,v1
1,btc,2024-01-21,20240121,60060.0,19600000,1177176000000.0,1,5,v1
2,eth,2024-01-21,20240121,3479.0,120000000,417480000000.0,1,5,v1
3,matic,2024-01-21,20240121,0.8568,9900000000,8482320000.0,2,4,v1
4,sol,2024-01-21,20240121,140.14,440000000,61661600000.0,1,4,v1
5,bnb,2024-01-21,20240121,417.48,153000000,63874440000.0,1,3,v1
6,ada,2024-01-21,20240121,0.5544,35000000000,19404000000.0,2,4,v1
7,dot,2024-01-21,20240121,8.5085,1400000000,11911900000.0,2,3,v1
8,avax,2024-01-21,20240121,37.772,400000000,15108800000.0,2,3,v1
9,msci_world_etf,2024-01-21,20240121,423.36,0,0.0,1,1,v1
10,sp500_etf,2024-01-21,20240121,480.48,0,0.0,1,1,v1
1,btc,2024-01-22,20240122,59400.0,19600000,1164240000000.0,1,5,v1
2,eth,2024-01-22,20240122,3465.0,120000000,415800000000.0,1,5,v1
3,matic,2024-01-22,20240122,0.8415,9900000000,8330850000.0,2,4,v1
4,sol,2024-01-22,20240122,138.6,440000000,60984000000.0,1,4,v1
5,bnb,2024-01-22,20240122,415.8,153000000,63617400000.0,1,3,v1
6,ada,2024-01-22,20240122,0.5445,35000000000,19057500000.0,2,4,v1
7,dot,2024-01-22,20240122,8.415,1400000000,11781000000.0,2,3,v1
8,avax,2024-01-22,20240122,37.62,400000000,15048000000.0,2,3,v1
9,msci_world_etf,2024-01-22,20240122,415.8,0,0.0,1,1,v1
10,sp500_etf,2024-01-22,20240122,475.2,0,0.0,1,1,v1
1,btc,2024-01-23,20240123,60000.0,19600000,1176000000000.0,1,5,v1
2,eth,2024-01-23,20240123,3524.5,120000000,422940000000.0,1,5,v1
3,matic,2024-01-23,20240123,0.84405,9900000000,8356095000.0,2,4,v1
4,sol,2024-01-23,20240123,140.0,440000000,61600000000.0,1,4,v1
5,bnb,2024-01-23,20240123,422.94,153000000,64709820000.0,1,3,v1
6,ada,2024-01-23,20240123,0.54615,35000000000,19115250000.0,2,4,v1
7,dot,2024-01-23,20240123,8.5,1400000000,11900000000.0,2,3,v1
8,avax,2024-01-23,20240123,38.266,400000000,15306400000.0,2,3,v1
9,msci_world_etf,2024-01-23,20240123,417.06,0,0.0,1,1,v1
10,sp500_etf,2024-01-23,20240123,480.0,0,0.0,1,1,v1
1,btc,2024-01-24,20240124,60600.0,19600000,1187760000000.0,1,5,v1
2,eth,2024-01-24,20240124,3510.5,120000000,421260000000.0,1,5,v1
3,matic,2024-01-24,20240124,0.8466,9900000000,8381340000.0,2,4,v1
4,sol,2024-01-24,20240124,141.4,440000000,62216000000.0,1,4,v1
5,bnb,2024-01-24,20240124,421.26,153000000,64452780000.0,1,3,v1
6,ada,2024-01-24,20240124,0.5478,35000000000,19173000000.0,2,4,v1
7,dot,2024-01-24,20240124,8.585,1400000000,12019000000.0,2,3,v1
8,avax,2024-01-24,20240124,38.114,400000000,15245600000.0,2,3,v1
9,msci_world_etf,2024-01-24,20240124,418.32,0,0.0,1,1,v1
10,sp500_etf,2024-01-24,20240124,484.8,0,0.0,1,1,v1
1,btc,2024-01-25,20240125,59940.0,19600000,1174824000000.0,1,5,v1
2,eth,2024-01-25,20240125,3496.5,120000000,419580000000.0,1,5,v1
3,matic,2024-01-25,20240125,0.84915,9900000000,8406585000.0,2,4,v1
4,sol,2024-01-25,20240125,139.86,440000000,61538400000.0,1,4,v1
5,bnb,2024-01-25,20240125,419.58,153000000,64195740000.0,1,3,v1
6,ada,2024-01-25,20240125,0.54945,35000000000,19230750000.0,2,4,v1
7,dot,2024-01-25,20240125,8.4915,1400000000,11888100000.0,2,3,v1
8,avax,2024-01-25,20240125,37.962,400000000,15184800000.0,2,3,v1
9,msci_world_etf,2024-01-25,20240125,419.58,0,0.0,1,1,v1
10,sp500_etf,2024-01-25,20240125,479.52,0,0.0,1,1,v1
1,btc,2024-01-26,20240126,60540.0,19600000,1186584000000.0,1,5,v1
2,eth,2024-01-26,20240126,3482.5,120000000,417900000000.0,1,5,v1
3,matic,2024-01-26,20240126,0.8517,9900000000,8431830000.0,2,4,v1
4,sol,2024-01-26,20240126,141.26,440000000,62154400000.0,1,4,v1
5,bnb,2024-01-26,20240126,417.9,153000000,63938700000.0,1,3,v1
6,ada,2024-01-26,20240126,0.5511,35000000000,19288500000.0,2,4,v1
7,dot,2024-01-26,20240126,8.5765,1400000000,12007100000.0,2,3,v1
8,avax,2024-01-26,20240126,37.81,400000000,15124000000.0,2,3,v1
9,msci_world_etf,2024-01-26,20240126,420.84,0,0.0,1,1,v1
10,sp500_etf,2024-01-26,20240126,484.32,0,0.0,1,1,v1
1,btc,2024-01-27,20240127,59880.0,19600000,1173648000000.0,1,5,v1
2,eth,2024-01-27,20240127,3468.5,120000000,416220000000.0,1,5,v1
3,matic,2024-01-27,20240127,0.85425,9900000000,8457075000.0,2,4,v1
4,sol,2024-01-27,20240127,139.72,440000000,61476800000.0,1,4,v1
5,bnb,2024-01-27,20240127,416.22,153000000,63681660000.0,1,3,v1
6,ada,2024-01-27,20240127,0.55275,35000000000,19346250000.0,2,4,v1
7,dot,2024-01-27,20240127,8.483,1400000000,11876200000.0,2,3,v1
8,avax,2024-01-27,20240127,37.658,400000000,15063200000.0,2,3,v1
9,msci_world_etf,2024-01-27,20240127,422.1,0,0.0,1,1,v1
10,sp500_etf,2024-01-27,20240127,479.04,0,0.0,1,1,v1
1,btc,2024-01-28,20240128,60480.0,19600000,1185408000000.0,1,5,v1
2,eth,2024-01-28,20240128,3528.0,120000000,423360000000.0,1,5,v1
3,matic,2024-01-28,20240128,0.8568,9900000000,8482320000.0,2,4,v1
4,sol,2024-01-28,20240128,141.12,440000000,62092800000.0,1,4,v1
5,bnb,2024-01-28,20240128,423.36,153000000,64774080000.0,1,3,v1
6,ada,2024-01-28,20240128,0.5544,35000000000,19404000000.0,2,4,v1
7,dot,2024-01-28,20240128,8.568,1400000000,11995200000.0,2,3,v1
8,avax,2024-01-28,20240128,38.304,400000000,15321600000.0,2,3,v1
9,msci_world_etf,2024-01-28,20240128,423.36,0,0.0,1,1,v1
10,sp500_etf,2024-01-28,20240128,483.84,0,0.0,1,1,v1
1,btc,2024-01-29,20240129,59820.0,19600000,1172472000000.0,1,5,v1
2,eth,2024-01-29,20240129,3514.0,120000000,421680000000.0,1,5,v1
3,matic,2024-01-29,20240129,0.8415,9900000000,8330850000.0,2,4,v1
4,sol,2024-01-29,20240129,139.58,440000000,61415200000.0,1,4,v1
5,bnb,2024-01-29,20240129,421.68,153000000,64517040000.0,1,3,v1
6,ada,2024-01-29,20240129,0.5445,35000000000,19057500000.0,2,4,v1
7,dot,2024-01-29,20240129,8.4745,1400000000,11864300000.0,2,3,v1
8,avax,2024-01-29,20240129,38.152,400000000,15260800000.0,2,3,v1
9,msci_world_etf,2024-01-29,20240129,415.8,0,0.0,1,1,v1
10,sp500_etf,2024-01-29,20240129,478.56,0,0.0,1,1,v1
1,btc,2024-01-30,20240130,60420.0,19600000,1184232000000.0,1,5,v1
2,eth,2024-01-30,20240130,3500.0,120000000,420000000000.0,1,5,v1
3,matic,2024-01-30,20240130,0.84405,9900000000,8356095000.0,2,4,v1
4,sol,2024-01-30,20240130,140.98,440000000,62031200000.0,1,4,v1
5,bnb,2024-01-30,20240130,420.0,153000000,64260000000.0,1,3,v1
6,ada,2024-01-30,20240130,0.54615,35000000000,19115250000.0,2,4,v1
7,dot,2024-01-30,20240130,8.5595,1400000000,11983300000.0,2,3,v1
8,avax,2024-01-30,20240130,38.0,400000000,15200000000.0,2,3,v1
9,msci_world_etf,2024-01-30,20240130,417.06,0,0.0,1,1,v1
10,sp500_etf,2024-01-30,20240130,483.36,0,0.0,1,1,v1
